암호화요양기호,요양기관명,교통편명,노선번호,하차지점,방향,거리,비고
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,명문한의원,시내버스,33-1,현대아파트,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,명문한의원,시내버스,6,현대아파트,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,명문한의원,시내버스,720,현대아파트,,,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,소망치과의원,마을버스,115,수내역.롯데백화점,롯데백화점 앞,,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,소망치과의원,지하철,분당선,수내역.한국잡월드,현대수내프라자방향,20m,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,성남중앙병원,시내버스,30,상원초교입구,남한산성역 방향,5m,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,성남중앙병원,시내버스,33,상원초교입구,남한산성역 방향,5m,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,성남중앙병원,시내버스,51,상원초교입구,남한산성역 방향,5m,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,성남중앙병원,기타,333,상원초교입구,남한산성역 방향,5m,좌석버스
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,성남중앙병원,지하철,8호선,남한산성입구역,1번출구,5m,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQyIyQxIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,하늘마음한의원,시내버스,300,3번출구,미금역-정자역,,직행버스5500-1
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQyIyQxIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,하늘마음한의원,지하철,분당선,3번출구,바로 앞 빠리바게트를 지나 직진하여 백궁프라자3차 4층,100m,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQyIyQxIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,하늘마음한의원,자가용,,병원앞,"용인,수지방향",,43번 국도->성남대로->정자역
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQyIyQxIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,하늘마음한의원,자가용,,병원앞,수원 시청간 방향,,수원시청->수원시 권선구 세류2동->동서로->경수산업도로->동수원고가차도->창용문사거리->풍덕고교사거리->죽전사거리->성남대로->정자역
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQyIyQxIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,하늘마음한의원,자가용,,병원앞,분당 내곡간 도시 고속화국도를 이용하여 오시는 경우,,수내사거리->수내로->분당사거리에서 우회전->성남대로(2.3km)->정자역
