암호화요양기호,요양기관명,기타인력코드,기타인력코드명,기타인력수
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ2MiQzNjEyMjIjNTEjJDEjJDYjJDgz,모란튼튼척의원,100,물리치료사,6
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ3OSQzNjEwMDIjNjEjJDEjJDgjJDgz,아산유재활의학과의원 유한의원,100,물리치료사,7
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ3MiQyNjE0ODEjNjEjJDEjJDQjJDgz,미라클신경외과의원,100,물리치료사,6
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,분당정자역정형외과의원,100,물리치료사,12
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDYjJDgz,분당메디본신경외과의원,100,물리치료사,4
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQ1IyQ4OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울기운찬정형외과의원,100,물리치료사,8
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQ1IyQwMyQ0NjE0ODEjODEjJDEjJDIjJDgz,미래로마취통증의학과의원,100,물리치료사,8
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQyIyQ1IyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,수내본정형외과의원,100,물리치료사,12
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,화인마취통증의학과의원,100,물리치료사,2
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,연세힐링의원,100,물리치료사,5
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNjEjJDEjJDQjJDgz,굿마디의원,100,물리치료사,1
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ5MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,에이스정형외과의원,100,물리치료사,5
