암호화요양기호,요양기관명,장비코드,장비코드명,장비대수
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ5OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,이안정형외과의원,B302,초음파영상진단기,1
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz,모란마취통증의학과의원,B302,초음파영상진단기,1
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQwMyQyNjE4MzIjNTEjJDEjJDYjJDgz,연세아이봄여성의원,B302,초음파영상진단기,3
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,서울에스유외과의원,B105,유방촬영장치,1
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQwMyQyNjE0ODEjNjEjJDEjJDgjJDgz,서울신경외과재활의학과의원,B302,초음파영상진단기,5
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQwMyQzNjE0ODEjNTEjJDEjJDYjJDgz,야탑이비인후과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzUxIyQyIyQxIyQwMCQyNjE4MzIjNjEjJDEjJDQjJDgz,메디피움치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzIxIyQxIyQ5IyQ4MiQzNjEyMjIjNDEjJDEjJDgjJDgz,도촌베스트치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzQxIyQxIyQ3IyQxMyQzNjEwMDIjNjEjJDEjJDAjJDgz,수내서울치과의원,B109,콘빔CT,1
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzUxIyQxIyQxIyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,서울크리스탈치과의원,B109,콘빔CT,1
